Format=7,5610,,,Right Foot,,,,,,,,,,,5611,,,Left Foot,,,,,,,,,,,5617,,,Lumbar,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1588061834437112,10.002565,-0.314588,-1.089264,0.006575,-0.001314,0.027526,-32.105390,-13.138959,2.978606,4636847587739084800.000000,0.011262,0.745181,-0.028498,0.666158,10.026284,0.956184,-1.135288,-0.004256,0.006776,0.012117,-30.619796,-13.818402,4.870187,4636847009515438100.000000,0.113185,0.738257,-0.042605,0.663590,0.305872,-0.036622,-9.902953,-0.002076,0.002257,0.003024,-17.456587,-19.629505,13.409228,4636846580018708500.000000,0.015680,0.273238,-0.961794,0.006883
1588061834444924,10.000670,-0.324899,-1.083652,0.009779,-0.000411,0.028429,-32.007813,-13.183995,3.016210,4636847653760532500.000000,0.011217,0.745175,-0.028506,0.666165,10.022278,0.968579,-1.102485,-0.003204,0.006759,0.012818,-30.649158,-13.736960,4.834132,4636847009515438100.000000,0.113172,0.738246,-0.042633,0.663602,0.318761,-0.036622,-9.946980,-0.001068,0.004392,0.000180,-17.461378,-19.619923,13.495228,4636846580018708500.000000,0.015683,0.273240,-0.961793,0.006883
1588061834452736,9.966857,-0.307993,-1.103366,0.010927,-0.000657,0.027361,-32.068910,-13.089999,3.076266,4636847653760532500.000000,0.011171,0.745170,-0.028509,0.666172,10.022278,0.984792,-1.102858,-0.003204,0.006409,0.011383,-30.677204,-13.708914,4.834132,4636847009515438100.000000,0.113164,0.738236,-0.042658,0.663613,0.343860,-0.035938,-9.910359,-0.001008,0.006229,0.003025,-17.551619,-19.449704,13.375097,4636846580018708500.000000,0.015692,0.273231,-0.961796,0.006885
1588061834460548,9.946224,-0.274182,-1.110874,0.009613,0.001233,0.025881,-32.227593,-12.939848,3.076266,4636847612429994000.000000,0.011133,0.745159,-0.028511,0.666184,10.038676,0.980600,-1.119073,-0.007509,0.009279,0.009964,-30.513220,-13.651519,4.694745,4636847009515438100.000000,0.113171,0.738217,-0.042688,0.663630,0.379795,-0.024415,-9.875790,0.000060,0.003204,0.000060,-17.703382,-19.308781,13.099227,4636846580018708500.000000,0.015688,0.273234,-0.961795,0.006888
1588061834468360,9.970637,-0.262941,-1.120270,0.008791,0.003204,0.025390,-32.325203,-12.972736,3.076266,4636847546386350100.000000,0.011099,0.745144,-0.028514,0.666201,10.046693,0.943800,-1.123081,-0.010331,0.011399,0.013200,-30.269092,-13.680849,4.561020,4636847009515438100.000000,0.113179,0.738192,-0.042734,0.663655,0.400796,-0.023732,-9.876472,0.001128,0.003384,0.001008,-17.528382,-19.472940,13.121676,4636846580018708500.000000,0.015684,0.273233,-0.961795,0.006895
1588061834476172,9.980959,-0.269491,-1.130591,0.006244,0.001971,0.027526,-32.264138,-13.086364,3.076266,4636847546386350100.000000,0.011067,0.745131,-0.028529,0.666215,10.038496,0.919566,-1.123081,-0.007813,0.011032,0.012802,-30.352840,-13.708914,4.660092,4636847009515438100.000000,0.113180,0.738168,-0.042772,0.663678,0.366222,-0.011526,-9.892085,0.001957,0.006349,0.000000,-17.297890,-19.714956,13.311521,4636846580018708500.000000,0.015690,0.273235,-0.961794,0.006909
1588061834483984,9.968752,-0.227244,-1.113688,0.002218,0.000000,0.027607,-32.138327,-13.183995,3.113839,4636847546386350100.000000,0.011045,0.745124,-0.028556,0.666223,10.050875,0.923750,-1.123081,-0.002824,0.010681,0.011750,-30.539592,-13.766279,4.732460,4636847009515438100.000000,0.113170,0.738148,-0.042795,0.663701,0.366222,-0.000683,-9.955096,-0.001008,0.005341,0.000000,-17.311544,-19.700620,13.403046,4636846580018708500.000000,0.015696,0.273238,-0.961794,0.006910
1588061834491796,9.961241,-0.252604,-1.084579,-0.000657,0.000411,0.026457,-32.121437,-13.122950,3.169229,4636847546386350100.000000,0.011035,0.745115,-0.028587,0.666232,10.067094,0.919569,-1.106694,0.000366,0.012115,0.011033,-30.640914,-13.794366,4.597183,4636847009515438100.000000,0.113152,0.738125,-0.042807,0.663729,0.364863,-0.013567,-9.852734,0.000000,0.005222,0.000000,-17.546796,-19.453843,13.386084,4636846580018708500.000000,0.015700,0.273241,-0.961793,0.006915
1588061834499608,9.965936,-0.314575,-1.062044,0.004519,0.001479,0.027772,-32.166508,-12.992433,3.161717,4636847546386350100.000000,0.011006,0.745104,-0.028608,0.666244,10.038336,0.899169,-1.082280,0.005369,0.014968,0.011398,-30.615840,-13.794366,4.455210,4636846937451582500.000000,0.113119,0.738097,-0.042805,0.663765,0.339773,-0.035266,-9.877824,-0.000119,0.003204,0.000000,-17.627491,-19.373150,13.299288,4636846580018708500.000000,0.015697,0.273243,-0.961792,0.006917
1588061834507420,9.978143,-0.320210,-1.076129,0.013804,0.001726,0.027772,-32.166508,-12.972711,3.128854,4636847587680940000.000000,0.010951,0.745092,-0.028605,0.666258,10.038664,0.940298,-1.090637,0.006760,0.015305,0.011033,-30.534401,-13.794366,4.492816,4636846902141255700.000000,0.113084,0.738070,-0.042799,0.663802,0.305185,-0.014242,-9.911734,-0.002136,0.003323,0.000000,-17.636306,-19.368403,13.391521,4636846580018708500.000000,0.015696,0.273246,-0.961791,0.006912
