Format=7,5610,,,Right Foot,,,,,,,,,,,5611,,,Left Foot,,,,,,,,,,,5617,,,Lumbar,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1588062524224146,9.997864,-0.370474,-0.478741,0.040078,-0.019459,0.039846,-35.847291,-9.472945,-3.375599,4636849156999086100.000000,0.577389,0.382640,-0.607930,0.388109,10.113093,0.770546,-0.488296,-0.002735,-0.009015,0.011151,-31.642513,-11.692845,2.875583,4636848620128174100.000000,0.472071,0.570016,-0.446018,0.503287,0.307271,-0.010121,-9.869840,-0.002136,0.003204,0.000000,-27.305566,-7.637353,13.805725,4636847546386350100.000000,0.016824,0.134742,-0.990733,0.003187
1588062524231958,9.997864,-0.328550,-0.490948,0.045698,-0.020063,0.044862,-35.914181,-9.472945,-3.463700,4636849156999086100.000000,0.577260,0.382697,-0.607939,0.388233,10.114573,0.751495,-0.499024,-0.001198,-0.010083,0.011280,-31.583141,-11.597034,2.917015,4636848620128174100.000000,0.472050,0.570022,-0.446042,0.503280,0.305185,-0.022329,-9.883824,-0.000365,0.003204,0.000000,-27.320169,-7.654042,13.676774,4636847546386350100.000000,0.016824,0.134744,-0.990733,0.003189
1588062524239770,10.016415,-0.280770,-0.508454,0.043239,-0.017140,0.044167,-35.895629,-9.510049,-3.518945,4636849156999086100.000000,0.577142,0.382745,-0.607943,0.388354,10.118456,0.755378,-0.512711,0.001877,-0.009743,0.010681,-31.446270,-11.634574,2.978606,4636848620128174100.000000,0.472024,0.570033,-0.446057,0.503278,0.345660,-0.044652,-9.898115,-0.001771,0.002319,0.000000,-27.320169,-7.583211,13.660085,4636847546386350100.000000,0.016820,0.134745,-0.990732,0.003184
1588062524247582,10.096564,-0.288720,-0.550375,0.035762,-0.009150,0.040962,-35.810179,-9.678297,-3.461037,4636849156999086100.000000,0.577059,0.382772,-0.607936,0.388462,10.126783,0.769066,-0.518073,0.006149,-0.008076,0.012558,-31.515972,-11.644953,2.930352,4636848620128174100.000000,0.471988,0.570045,-0.446066,0.503290,0.323660,-0.058948,-9.900204,-0.001251,0.002136,0.000000,-27.320169,-7.568590,13.821975,4636847546386350100.000000,0.016816,0.134746,-0.990732,0.003182
1588062524255394,10.147001,-0.335933,-0.587568,0.028054,-0.006318,0.037758,-35.761819,-9.802545,-3.527940,4636849156999086100.000000,0.576999,0.382785,-0.607929,0.388548,10.103857,0.801226,-0.546358,0.010890,-0.005601,0.013078,-31.680006,-11.559514,2.820501,4636848620128174100.000000,0.471945,0.570060,-0.446061,0.503317,0.317392,-0.040803,-9.971022,-0.003724,0.001251,0.001770,-27.188650,-7.700109,14.017272,4636847546386350100.000000,0.016809,0.134740,-0.990733,0.003170
1588062524263206,10.143318,-0.405493,-0.549333,0.019046,-0.001673,0.034785,-35.847266,-9.786655,-3.527940,4636849156999086100.000000,0.577964,0.381217,-0.608901,0.387132,10.083315,0.847670,-0.552311,0.014824,-0.002267,0.011150,-31.700842,-11.474067,2.667767,4636848667266718700.000000,0.471903,0.570080,-0.446039,0.503355,0.337626,-0.036622,-9.955306,-0.000732,0.003724,0.003021,-27.151356,-7.798102,14.050721,4636847546386350100.000000,0.016811,0.134730,-0.990735,0.003171
1588062524271018,10.079640,-0.404463,-0.551980,0.008365,0.000926,0.032418,-35.895651,-9.692241,-3.530587,4636849156999086100.000000,0.577959,0.381187,-0.608900,0.387170,10.094033,0.843800,-0.508841,0.017898,0.002214,0.012687,-31.535300,-11.501156,2.647809,4636848727502356500.000000,0.471858,0.570093,-0.446005,0.503411,0.331692,-0.036622,-9.898457,0.000885,0.005158,-0.000336,-27.149265,-7.812738,13.969799,4636847546386350100.000000,0.016817,0.134732,-0.990734,0.003178
1588062524278830,10.009044,-0.360929,-0.556247,-0.002548,0.004504,0.029908,-35.812847,-9.539869,-3.518973,4636849156999086100.000000,0.577983,0.381133,-0.608903,0.387182,10.113089,0.819385,-0.493655,0.021233,0.008285,0.013886,-31.408756,-11.709577,2.867546,4636848727502356500.000000,0.471815,0.570099,-0.445957,0.503488,0.319485,-0.046737,-9.877882,-0.000702,0.001800,-0.000183,-27.159380,-7.741933,13.953062,4636847546386350100.000000,0.016811,0.134734,-0.990734,0.003178
1588062524286642,9.969178,-0.341807,-0.531835,-0.012907,0.006267,0.029908,-35.755486,-9.438553,-3.445133,4636849180268990500.000000,0.578027,0.381053,-0.608918,0.387172,10.141370,0.784255,-0.484429,0.021962,0.010213,0.013417,-31.467985,-11.853389,2.942589,4636848727502356500.000000,0.471774,0.570103,-0.445902,0.503571,0.307277,-0.008370,-9.946594,-0.002838,0.002838,-0.000885,-27.090668,-7.656481,13.953062,4636847546386350100.000000,0.016810,0.134738,-0.990734,0.003170
1588062524294454,9.984638,-0.333872,-0.507420,-0.015239,0.009150,0.031065,-35.771356,-9.314249,-3.454695,4636849264373268500.000000,0.578080,0.380961,-0.608931,0.387164,10.184840,0.756859,-0.463881,0.020894,0.009613,0.012818,-31.712120,-11.815885,2.789867,4636848633252754400.000000,0.471736,0.570107,-0.445849,0.503648,0.335526,0.000000,-9.870218,-0.001435,0.004089,0.000702,-27.146817,-7.500242,13.942949,4636847546386350100.000000,0.016813,0.134737,-0.990734,0.003168
1588062524302266,9.934183,-0.294609,-0.480364,-0.007157,0.007477,0.036174,-35.828728,-9.348621,-3.412391,4636849264373268500.000000,0.578108,0.380878,-0.608944,0.387183,10.216103,0.756859,-0.474595,0.019826,0.011488,0.012349,-31.811618,-11.767937,2.673421,4636848512753991700.000000,0.471704,0.570106,-0.445794,0.503728,0.351919,-0.010112,-9.942384,-0.004607,0.001618,0.000183,-27.292931,-7.551828,13.870070,4636847546386350100.000000,0.016809,0.134737,-0.990734,0.003153
1588062524310078,9.932550,-0.256355,-0.459605,-0.001674,0.006783,0.039521,-35.812866,-9.491451,-3.259377,4636849264373268500.000000,0.578122,0.380800,-0.608954,0.387222,10.219092,0.719367,-0.482940,0.018758,0.012949,0.011281,-31.661899,-11.730444,2.807323,4636848512753991700.000000,0.471680,0.570103,-0.445736,0.503806,0.313572,-0.002097,-9.829803,-0.002687,0.002838,0.000000,-27.188731,-7.629253,13.855403,4636847546386350100.000000,0.016808,0.134738,-0.990734,0.003145
1588062524317890,9.963883,-0.277495,-0.488296,0.002081,0.004041,0.039521,-35.771340,-9.539899,-3.299013,4636849241130854400.000000,0.578124,0.380735,-0.608966,0.387266,10.178613,0.682118,-0.492154,0.019564,0.011281,0.010213,-31.494236,-11.644999,3.069645,4636848512753991700.000000,0.471653,0.570106,-0.445677,0.503881,0.305185,0.010110,-9.883427,-0.000367,0.007628,0.000000,-27.090701,-7.641834,13.936285,4636847546386350100.000000,0.016824,0.134739,-0.990733,0.003149
1588062524325702,9.978733,-0.369867,-0.480370,0.012850,0.003204,0.040446,-35.847223,-9.420103,-3.445130,4636849156999086100.000000,0.578107,0.380693,-0.608964,0.387336,10.096162,0.695822,-0.518065,0.023706,0.010681,0.009145,-31.414143,-11.559552,3.046915,4636848512753991700.000000,0.471618,0.570119,-0.445609,0.503958,0.305185,-0.008013,-9.930535,0.000000,0.006776,-0.000885,-27.076021,-7.571062,14.104717,4636847546386350100.000000,0.016837,0.134744,-0.990732,0.003154
1588062524333514,9.997864,-0.435182,-0.451674,0.026878,0.003204,0.044949,-35.914181,-9.212952,-3.433568,4636849156999086100.000000,0.578061,0.380672,-0.608947,0.387449,10.018425,0.733297,-0.514211,0.026704,0.011150,0.008545,-31.405148,-11.511581,2.729545,4636848512753991700.000000,0.471578,0.570138,-0.445532,0.504041,0.295076,-0.022316,-9.957044,0.000885,0.003755,-0.000184,-27.146784,-7.556383,14.055301,4636847546386350100.000000,0.016838,0.134746,-0.990732,0.003161
1588062524341326,9.992583,-0.448038,-0.451674,0.035018,0.002742,0.048211,-35.895697,-9.189880,-3.378160,4636849156999086100.000000,0.577998,0.380663,-0.608925,0.387589,10.019273,0.786626,-0.484447,0.025299,0.012686,0.006672,-31.553315,-11.623979,2.695858,4636848559831538700.000000,0.471548,0.570155,-0.445452,0.504122,0.272763,-0.064845,-9.880381,0.000184,0.003204,0.000000,-27.161472,-7.697887,13.886902,4636847546386350100.000000,0.016837,0.134747,-0.990732,0.003165
1588062524349138,9.973449,-0.390637,-0.449033,0.032332,0.000606,0.045556,-35.812880,-9.332738,-3.473185,4636849156999086100.000000,0.577937,0.380657,-0.608907,0.387713,10.046693,0.814886,-0.485286,0.021626,0.013886,0.005677,-31.727877,-11.842854,3.020078,4636848620128174100.000000,0.471530,0.570164,-0.445375,0.504196,0.308992,-0.063137,-9.873689,-0.001769,0.001436,0.000000,-27.222115,-7.798037,13.784652,4636847546386350100.000000,0.016830,0.134748,-0.990732,0.003160
1588062524356950,9.976097,-0.401229,-0.436818,0.024245,-0.001300,0.047603,-35.755486,-9.362628,-3.500427,4636849156999086100.000000,0.577881,0.380631,-0.608908,0.387819,10.046693,0.836959,-0.502008,0.019695,0.011545,0.007477,-31.738411,-11.938841,3.198340,4636848620128174100.000000,0.471509,0.570171,-0.445309,0.504265,0.327498,-0.040825,-9.916213,-0.003021,0.002837,0.000000,-27.234716,-7.671255,13.921540,4636847546386350100.000000,0.016829,0.134749,-0.990732,0.003152
1588062524364762,10.004175,-0.439467,-0.419322,0.019921,-0.001673,0.045236,-35.771358,-9.228797,-3.357036,4636849156999086100.000000,0.577834,0.380602,-0.608914,0.387909,10.068095,0.824753,-0.472245,0.020763,0.009950,0.007009,-31.727872,-11.863934,3.059227,4636848573066064900.000000,0.471484,0.570184,-0.445244,0.504332,0.329600,-0.026517,-9.904407,-0.004089,0.002320,0.000000,-27.234716,-7.571095,13.953062,4636847546386350100.000000,0.016827,0.134750,-0.990732,0.003139
1588062524372574,10.094915,-0.439467,-0.403863,0.024051,0.001389,0.042032,-35.828728,-9.265830,-3.378198,4636849156999086100.000000,0.577793,0.380585,-0.608902,0.388006,10.106222,0.833945,-0.457024,0.019959,0.012686,0.005005,-31.775871,-11.693039,2.832799,4636848512753991700.000000,0.471469,0.570194,-0.445172,0.504399,0.319494,-0.024415,-9.920415,-0.003388,0.001252,0.001768,-27.234716,-7.485643,13.942957,4636847546386350100.000000,0.016820,0.134744,-0.990733,0.003128
1588062524380386,10.173042,-0.444755,-0.464894,0.029214,0.005483,0.038827,-35.828728,-9.415564,-3.452051,4636849156999086100.000000,0.577759,0.380581,-0.608868,0.388114,10.125286,0.833122,-0.485277,0.015350,0.013886,0.003204,-31.700986,-11.559591,2.765732,4636848512753991700.000000,0.471470,0.570196,-0.445102,0.504457,0.337601,-0.024415,-9.904410,-0.000552,0.001068,0.001252,-27.305448,-7.541661,13.950959,4636847546386350100.000000,0.016811,0.134741,-0.990733,0.003128
1588062524388198,10.131134,-0.458594,-0.507424,0.025547,0.002368,0.035160,-35.812866,-9.438578,-3.445131,4636849156999086100.000000,0.577728,0.380583,-0.608841,0.388200,10.121450,0.789646,-0.491321,0.012218,0.013418,0.005076,-31.535448,-11.549015,2.764221,4636848512753991700.000000,0.471474,0.570190,-0.445044,0.504512,0.321599,-0.014311,-9.970932,0.001768,0.001952,0.000184,-27.320169,-7.485654,14.023791,4636847546386350100.000000,0.016805,0.134741,-0.990733,0.003137
1588062524396010,10.070101,-0.431538,-0.493582,0.019282,0.003667,0.030051,-35.736986,-9.295750,-3.454695,4636849156999086100.000000,0.577718,0.380581,-0.608813,0.388262,10.102384,0.753029,-0.458536,0.016092,0.013286,0.004670,-31.553186,-11.559613,2.813847,4636848512753991700.000000,0.471470,0.570192,-0.444977,0.504572,0.317392,-0.002105,-9.955348,0.001252,0.007440,0.000000,-27.188832,-7.470931,14.038514,4636847457524010000.000000,0.016820,0.134743,-0.990733,0.003147
1588062524403822,10.003772,-0.410775,-0.520642,0.009668,0.004878,0.026241,-35.654170,-9.228797,-3.454695,4636849203505452000.000000,0.577730,0.380564,-0.608791,0.388294,10.090177,0.759170,-0.467709,0.020295,0.012951,0.002004,-31.690418,-11.548997,2.868740,4636848512753991700.000000,0.471461,0.570207,-0.444897,0.504634,0.317392,0.000000,-9.878325,0.000184,0.005894,0.000000,-27.161472,-7.612348,14.200134,4636847439012167700.000000,0.016829,0.134744,-0.990733,0.003153
1588062524411634,9.920974,-0.426256,-0.541407,0.000749,0.003204,0.025030,-35.612639,-9.228797,-3.454695,4636849371747450900.000000,0.577754,0.380533,-0.608785,0.388299,10.110036,0.782793,-0.472263,0.018892,0.013152,0.002737,-31.546124,-11.709263,2.874084,4636848512753991700.000000,0.471454,0.570217,-0.444822,0.504695,0.347695,-0.020202,-9.883784,-0.000884,0.003573,0.000000,-27.222078,-7.712541,14.324741,4636847439012167700.000000,0.016830,0.134745,-0.990732,0.003153
1588062524419446,9.855660,-0.359946,-0.507430,-0.005659,0.003204,0.027397,-35.707000,-9.175986,-3.454695,4636849371747450900.000000,0.577783,0.380482,-0.608792,0.388294,10.165726,0.758379,-0.451674,0.017558,0.013084,0.002136,-31.360819,-11.928199,2.838199,4636848512753991700.000000,0.471451,0.570227,-0.444748,0.504752,0.364114,-0.024415,-9.928396,-0.001952,0.000553,0.000000,-27.174119,-7.656588,14.252802,4636847439012167700.000000,0.016820,0.134746,-0.990732,0.003147
1588062524427258,9.837518,-0.285059,-0.488296,-0.009758,0.001588,0.030832,-35.875251,-8.984649,-3.475812,4636849371747450900.000000,0.577810,0.380416,-0.608814,0.388285,10.187839,0.744652,-0.451674,0.017691,0.008344,0.001669,-31.505071,-11.949494,2.826029,4636848512753991700.000000,0.471441,0.570246,-0.444682,0.504797,0.346026,-0.024415,-9.906532,-0.001253,0.004418,0.000884,-27.090786,-7.571148,14.153048,4636847439012167700.000000,0.016824,0.134744,-0.990733,0.003146
1588062524435070,9.899551,-0.274837,-0.475095,-0.004330,-0.004042,0.034874,-35.996994,-9.055934,-3.549714,4636849371747450900.000000,0.577809,0.380361,-0.608847,0.388289,10.175633,0.723286,-0.440991,0.017090,0.006743,0.001068,-31.727808,-11.778610,2.832875,4636848512753991700.000000,0.471430,0.570269,-0.444619,0.504837,0.311514,-0.024415,-9.839617,-0.000185,0.002690,0.000185,-27.076021,-7.627067,14.146271,4636847439012167700.000000,0.016821,0.134744,-0.990733,0.003148
1588062524442882,9.993570,-0.365550,-0.437811,0.008052,-0.003666,0.038078,-35.971598,-9.367011,-3.519042,4636849371747450900.000000,0.577785,0.380326,-0.608864,0.388331,10.147406,0.690482,-0.443280,0.018025,0.006676,0.001535,-31.701108,-11.645103,2.723018,4636848512753991700.000000,0.471417,0.570293,-0.444555,0.504879,0.284989,-0.034513,-9.897645,-0.001767,0.000369,0.000000,-27.146705,-7.571150,14.057500,4636847439012167700.000000,0.016810,0.134746,-0.990733,0.003143
1588062524450694,10.014362,-0.446397,-0.481366,0.029561,-0.006033,0.041513,-35.914181,-9.524094,-3.442488,4636849371747450900.000000,0.577719,0.380335,-0.608860,0.388427,10.114597,0.694295,-0.485243,0.019694,0.004273,0.000267,-31.535541,-11.634416,2.752002,4636848512753991700.000000,0.471398,0.570327,-0.444490,0.504916,0.260575,-0.046720,-9.932608,-0.001253,0.002651,0.002651,-27.232157,-7.415013,13.957732,4636847439012167700.000000,0.016808,0.134736,-0.990734,0.003141
1588062524458506,9.975111,-0.406170,-0.489959,0.044717,-0.008315,0.044862,-35.895727,-9.381247,-3.424034,4636849371747450900.000000,0.577620,0.380374,-0.608842,0.388564,10.091711,0.729388,-0.507371,0.018893,0.004273,-0.002604,-31.446270,-11.682485,2.916796,4636848512753991700.000000,0.471386,0.570364,-0.444420,0.504946,0.296736,-0.028639,-9.916636,-0.001068,0.005854,0.001438,-27.246923,-7.385479,13.940855,4636847439012167700.000000,0.016818,0.134732,-0.990734,0.003142
1588062524466318,9.950006,-0.340143,-0.430587,0.048067,-0.007016,0.044632,-35.847179,-9.332700,-3.357036,4636849371747450900.000000,0.577519,0.380419,-0.608817,0.388710,10.060431,0.756859,-0.468474,0.019426,0.001470,-0.002270,-31.483638,-11.645118,2.930563,4636848512753991700.000000,0.471368,0.570407,-0.444355,0.504971,0.325374,-0.014320,-9.882128,-0.002835,0.003759,0.000185,-27.176261,-7.526805,14.021613,4636847439012167700.000000,0.016820,0.134732,-0.990734,0.003135
1588062524474130,10.024213,-0.402144,-0.372459,0.050603,-0.004419,0.043564,-35.914181,-9.399700,-3.357036,4636849325394136100.000000,0.577422,0.380469,-0.608780,0.388864,10.025345,0.746185,-0.416585,0.021497,-0.001202,-0.002936,-31.563746,-11.597034,2.916774,4636848512753991700.000000,0.471342,0.570461,-0.444290,0.504993,0.339695,-0.002113,-9.865694,-0.002321,0.001438,0.000000,-26.959578,-7.697709,14.048609,4636847439012167700.000000,0.016814,0.134733,-0.990734,0.003128
1588062524481942,10.109395,-0.488296,-0.455280,0.060739,-0.001760,0.042726,-35.914181,-9.381252,-3.335952,4636849180180586500.000000,0.577317,0.380539,-0.608720,0.389043,10.019213,0.764468,-0.413519,0.017493,-0.001868,-0.007676,-31.642328,-11.671756,2.978606,4636848512753991700.000000,0.471333,0.570516,-0.444224,0.504997,0.361997,0.000000,-9.893866,-0.000370,0.002835,0.000000,-27.048556,-7.727286,13.969964,4636847439012167700.000000,0.016812,0.134735,-0.990734,0.003129
1588062524489754,10.052676,-0.469865,-0.520610,0.060403,-0.003812,0.042035,-35.914181,-9.295818,-3.262010,4636849264373268500.000000,0.577209,0.380614,-0.608664,0.389218,10.073375,0.832371,-0.432596,0.009217,-0.005206,-0.010681,-31.621045,-11.693227,2.887887,4636848512753991700.000000,0.471342,0.570568,-0.444173,0.504974,0.386406,-0.020184,-9.900204,0.000883,0.003204,0.000000,-27.277864,-7.585997,14.023707,4636847439012167700.000000,0.016810,0.134736,-0.990734,0.003136
1588062524497566,9.967227,-0.371252,-0.554599,0.038936,-0.002136,0.038139,-35.929977,-9.228797,-3.290013,4636849264373268500.000000,0.577143,0.380647,-0.608632,0.389334,10.134409,0.845383,-0.434131,0.001804,-0.008276,-0.011615,-31.494372,-11.522333,2.675037,4636848512753991700.000000,0.471365,0.570614,-0.444141,0.504929,0.410820,-0.004232,-9.930479,0.000185,0.000555,0.000000,-27.390810,-7.485741,14.199979,4636847439012167700.000000,0.016799,0.134737,-0.990734,0.003139
1588062524505378,9.908099,-0.258987,-0.565852,0.002474,-0.003518,0.031731,-35.987427,-9.265643,-3.396513,4636849264373268500.000000,0.577138,0.380615,-0.608648,0.389348,10.179435,0.796559,-0.427259,-0.000933,-0.010681,-0.013751,-31.515615,-11.500808,2.647363,4636848512753991700.000000,0.471393,0.570664,-0.444114,0.504870,0.364600,-0.030271,-9.946917,-0.002649,0.000883,0.000000,-27.264356,-7.541563,14.233832,4636847439012167700.000000,0.016790,0.134738,-0.990734,0.003130
